gcc -O2 -o testED src/evolucion_diferencial.c src/f_utiles.c src/funciones_objetivo.c src/testED.c src/benchmarkOR.c -lm
./testED 12 200 data/g12.txt 300000 1 0.05 0.45 0.8 1
#Parametros: 
#tamanio Poblacion: 200 , dimension: 3 
#num max de Evals: 300000 
#CR: 0.45, F: 0.8 
#Total de Repeticiones: 1 
#
#CR: 0.45, F: 0.8 
gen 268 eps 1.14102e-12 tFac 200 bestEval -0.896696 STV 0 
gen 269 eps 1.02692e-12 tFac 200 bestEval -0.896696 STV 0 
gen 270 eps 9.2423e-13 tFac 200 bestEval -0.896696 STV 0 
gen 271 eps 8.31807e-13 tFac 200 bestEval -0.896696 STV 0 
gen 272 eps 7.48626e-13 tFac 200 bestEval -0.896696 STV 0 
gen 273 eps 6.73764e-13 tFac 200 bestEval -0.896696 STV 0 
gen 274 eps 6.06387e-13 tFac 200 bestEval -0.896696 STV 0 
gen 275 eps 5.45748e-13 tFac 200 bestEval -0.896696 STV 0 
gen 276 eps 4.91174e-13 tFac 200 bestEval -0.896696 STV 0 
gen 277 eps 4.42056e-13 tFac 200 bestEval -0.896696 STV 0 
gen 278 eps 3.97851e-13 tFac 200 bestEval -0.896696 STV 0 
gen 279 eps 3.58066e-13 tFac 200 bestEval -0.896696 STV 0 
gen 280 eps 3.22259e-13 tFac 200 bestEval -0.896696 STV 0 
gen 281 eps 2.90033e-13 tFac 200 bestEval -0.896696 STV 0 
gen 282 eps 2.6103e-13 tFac 200 bestEval -0.896696 STV 0 
gen 283 eps 2.34927e-13 tFac 200 bestEval -0.896696 STV 0 
gen 284 eps 2.11434e-13 tFac 200 bestEval -0.896696 STV 0 
gen 285 eps 1.90291e-13 tFac 200 bestEval -0.896696 STV 0 
gen 286 eps 1.71262e-13 tFac 200 bestEval -0.896696 STV 0 
gen 287 eps 1.54135e-13 tFac 200 bestEval -0.896696 STV 0 
gen 288 eps 1.38722e-13 tFac 200 bestEval -0.896696 STV 0 
gen 289 eps 1.2485e-13 tFac 200 bestEval -0.896696 STV 0 
gen 290 eps 1.12365e-13 tFac 200 bestEval -0.896696 STV 0 
gen 291 eps 1.01128e-13 tFac 200 bestEval -0.896696 STV 0 
gen 292 eps 9.10155e-14 tFac 200 bestEval -0.896696 STV 0 
gen 293 eps 8.19139e-14 tFac 200 bestEval -0.896696 STV 0 
gen 294 eps 7.37225e-14 tFac 200 bestEval -0.896696 STV 0 
gen 295 eps 6.63503e-14 tFac 200 bestEval -0.896696 STV 0 
gen 296 eps 5.97152e-14 tFac 200 bestEval -0.896696 STV 0 
gen 297 eps 5.37437e-14 tFac 200 bestEval -0.896696 STV 0 
gen 298 eps 4.83693e-14 tFac 200 bestEval -0.896696 STV 0 
gen 299 eps 4.35324e-14 tFac 200 bestEval -0.896696 STV 0 
gen 300 eps 3.91792e-14 tFac 200 bestEval -0.896696 STV 0 
gen 301 eps 3.52613e-14 tFac 200 bestEval -0.896696 STV 0 
gen 302 eps 3.17351e-14 tFac 200 bestEval -0.896696 STV 0 
gen 303 eps 2.85616e-14 tFac 200 bestEval -0.896696 STV 0 
gen 304 eps 2.57055e-14 tFac 200 bestEval -0.896696 STV 0 
gen 305 eps 2.31349e-14 tFac 200 bestEval -0.896696 STV 0 
gen 306 eps 2.08214e-14 tFac 200 bestEval -0.896696 STV 0 
gen 307 eps 1.87393e-14 tFac 200 bestEval -0.896696 STV 0 
gen 308 eps 1.68653e-14 tFac 200 bestEval -0.896696 STV 0 
gen 309 eps 1.51788e-14 tFac 200 bestEval -0.896696 STV 0 
gen 310 eps 1.36609e-14 tFac 200 bestEval -0.896696 STV 0 
gen 311 eps 1.22948e-14 tFac 200 bestEval -0.896696 STV 0 
gen 312 eps 1.10654e-14 tFac 200 bestEval -0.896696 STV 0 
gen 313 eps 9.95882e-15 tFac 200 bestEval -0.896696 STV 0 
gen 314 eps 8.96294e-15 tFac 200 bestEval -0.896696 STV 0 
gen 315 eps 8.06664e-15 tFac 200 bestEval -0.896696 STV 0 
gen 316 eps 7.25998e-15 tFac 200 bestEval -0.896696 STV 0 
gen 317 eps 6.53398e-15 tFac 200 bestEval -0.896696 STV 0 
gen 318 eps 5.88058e-15 tFac 200 bestEval -0.896696 STV 0 
gen 319 eps 5.29253e-15 tFac 200 bestEval -0.896696 STV 0 
gen 320 eps 4.76327e-15 tFac 200 bestEval -0.896696 STV 0 
gen 321 eps 4.28695e-15 tFac 200 bestEval -0.896696 STV 0 
gen 322 eps 3.85825e-15 tFac 200 bestEval -0.896696 STV 0 
gen 323 eps 3.47243e-15 tFac 200 bestEval -0.896696 STV 0 
gen 324 eps 3.12518e-15 tFac 200 bestEval -0.896696 STV 0 
gen 325 eps 2.81266e-15 tFac 200 bestEval -0.896696 STV 0 
gen 326 eps 2.5314e-15 tFac 200 bestEval -0.896696 STV 0 
gen 327 eps 2.27826e-15 tFac 200 bestEval -0.896696 STV 0 
gen 328 eps 2.05043e-15 tFac 200 bestEval -0.896696 STV 0 
gen 329 eps 1.84539e-15 tFac 200 bestEval -0.896696 STV 0 
gen 330 eps 1.66085e-15 tFac 200 bestEval -0.896696 STV 0 
gen 331 eps 1.49477e-15 tFac 200 bestEval -0.896696 STV 0 
gen 332 eps 1.34529e-15 tFac 200 bestEval -0.896696 STV 0 
gen 333 eps 1.21076e-15 tFac 200 bestEval -0.896696 STV 0 
gen 334 eps 1.08968e-15 tFac 200 bestEval -0.896696 STV 0 
gen 335 eps 9.80716e-16 tFac 200 bestEval -0.896696 STV 0 
gen 336 eps 8.82644e-16 tFac 200 bestEval -0.896696 STV 0 
gen 337 eps 7.9438e-16 tFac 200 bestEval -0.896696 STV 0 
gen 338 eps 7.14942e-16 tFac 200 bestEval -0.896696 STV 0 
gen 339 eps 6.43448e-16 tFac 200 bestEval -0.896696 STV 0 
gen 340 eps 5.79103e-16 tFac 200 bestEval -0.896696 STV 0 
gen 341 eps 5.21192e-16 tFac 200 bestEval -0.896696 STV 0 
gen 342 eps 4.69073e-16 tFac 200 bestEval -0.896696 STV 0 
gen 343 eps 4.22166e-16 tFac 200 bestEval -0.896696 STV 0 
gen 344 eps 3.79949e-16 tFac 200 bestEval -0.896696 STV 0 
gen 345 eps 3.41954e-16 tFac 200 bestEval -0.896696 STV 0 
gen 346 eps 3.07759e-16 tFac 200 bestEval -0.896696 STV 0 
gen 347 eps 2.76983e-16 tFac 200 bestEval -0.896696 STV 0 
gen 348 eps 2.49285e-16 tFac 200 bestEval -0.896696 STV 0 
gen 349 eps 2.24356e-16 tFac 200 bestEval -0.896696 STV 0 
gen 350 eps 2.01921e-16 tFac 200 bestEval -0.896696 STV 0 
